[2025-07-18 20:50:29] [EasyTrainerLogger] Logger initialized. Writing to log_2.txt and log_current.txt
[2025-07-18 20:50:29] [EasyTrainerInit] Starting initialization
[2025-07-18 20:50:29] [EasyTrainerInit] Performing data dumps and loading to memory.
[2025-07-18 20:50:29] [EasyTrainerWeaponLoader] Loaded 1778 weapons.
[2025-07-18 20:50:30] [EasyTrainerVehicleLoader] Loaded 534 vehicles (Injected 0 new).
[2025-07-18 20:50:30] Silencio (Items.MeleeMod3_Common) | Common | Unknown | itemPart, WeaponMod, MeleeMod, Common
[2025-07-18 20:50:34] Militech Paraline (Items.BaseDeckTier2) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:34] Unknown (Items.ma_wat_nid_19_onscreen) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.generic_q112_warehouse_guard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.IntegumentarySystemModule) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Souvenir Magnet (Items.SouvenirJunkItem2) | Unknown | Junk | Junk, NoVisuals
[2025-07-18 20:50:34] Unknown (Items.loc_ma_hey_spr_107_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Reinforced Tendons (Items.AdvancedBoostedTendonsEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.ma_bls_ina_se1_20_onscreen_03) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Universal Booster (Items.AdvancedPainDistributorLegendary2PlusPlus) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] RC-7 Dybbuk (Items.w_muzzle_brake_09) | Unknown | Unknown | itemPart, WeaponMod, Muzzle_Brake, CourierReward, Tier1-4
[2025-07-18 20:50:34] Unknown (Items.ma_std_rcr_07_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ma_cct_cpz_17_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.GradScavWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:34] Camillo RAM Manager (Items.AdvancedCamilloRamManagerLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.sts_wat_kab_07_onscreen_002) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Feen-X (Items.AdvancedNeuroMatrixUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Luminescent Chalk (Items.VoodooBoysJunkItem2) | Unknown | Junk | Junk, FactionItem, VoodooBoys, NoVisuals
[2025-07-18 20:50:34] Car Keys (Items.sts_wbr_hil_06_keys) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:34] Fleetshot (Items.PRSRMod3_Rare) | Rare | Sniper Mod | itemPart, WeaponMod, RangedMod, Rare
[2025-07-18 20:50:34] Raven Microcyber Mk.1 (Items.AdvancedRavenMicrocyberMKIRarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:34] Unknown (Items.electric_guitar_d) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI, OnDropFadeoutNoDelay
[2025-07-18 20:50:34] Unknown (Items.w_att_power_street_12601_mzl) | Unknown | Miscellaneous | WeaponAttachment
[2025-07-18 20:50:34] The Snitcher (Items.Foundingfathers_TheSnitcher) | Unknown | Miscellaneous
[2025-07-18 20:50:34] Unknown (Items.ma_wbr_hil_104_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Contagion (Items.ContagionLvl3Program) | Unknown | Quickhack | itemPart, SoftwareShard, Tier1Shard, Tier2Shard, Tier3Shard
[2025-07-18 20:50:34] Unknown (Items.generic_depression_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.crowd_laptop_bag) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:34] Cogito Lattice (Items.AdvancedCogitoFrameLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] NetWatch Netdriver Mk.1 (Items.AdvancedNetwatchNetdriverMKLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:34] Request Backup (Items.CommsCallInLvl1Program) | Unknown | Quickhack | itemPart, SoftwareShard, Tier1Shard
[2025-07-18 20:50:34] Unknown (Items.mq024_data_nightcorp_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Me-thrill (Items.IntrinsicFabricEnhancer12) | Unknown | Unknown | itemPart, FabricEnhancer, DummyPart, HideInUI, HideAtVendor
[2025-07-18 20:50:34] Better Half (Items.RangedMod1_Legendary) | Legendary | Unknown | itemPart, WeaponMod, RangedMod, GenericRangedMod, Legendary
[2025-07-18 20:50:34] Unknown (Items.ma_pac_cvi_101_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ep1_impulse_kipper) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.w_rifle_sniper__techtronika_grad__base1) | Unknown | Muzzle | itemPart
[2025-07-18 20:50:34] Unknown (Items.DummyWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod, DeprecatedWeaponMod, HideInUI, HideAtVendor, DummyPart, DummyWeaponMod
[2025-07-18 20:50:34] Subdermal Armor (Items.AdvancedBoringPlatingEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.generic_kerry_kavorkin_rich_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ma_wat_lch_13_onscreen_02) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.cbj_ep1_07_shard_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] RC-7 Strigoi (Items.w_muzzle_brake_01_Craftable) | Unknown | Unknown | itemPart, WeaponMod, Muzzle_Brake, CourierReward, Tier1-4
[2025-07-18 20:50:34] Unknown (Items.q003_maelstrom_all_foods_in_vitro_meat_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ma_hey_gle_08_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Subdermal Armor (Items.AdvancedBoringPlating_Tutorial_CommonPlus) | Common | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:34] Unknown (Items.AdvancedHealOnKillStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:34] NeoFiber (Items.AdvancedNeoFiberEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.generic_rewiring_synaptic_pathways_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Pride (Items.q204_rogue_gun) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:34] Axolotl (Items.IconicAdvancedSubdermalCoProcessorEpicPlus) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:34] No Arms, No Problems - Behind the Scenes (Items.q105_item_fluff_braindance_01) | Unknown | Miscellaneous
[2025-07-18 20:50:34] Basic Kiroshi Optics (Items.AdvancedKiroshiOptics_q001_1) | Unknown | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:34] Kiroshi \"Doomsayer\" Optics (Items.AdvancedKiroshiOpticsHunterRarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Kiroshi \"Sentry\" Optics (Items.AdvancedKiroshiOptics_Tutorial_Legendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:34] Black Mamba (Items.AdvancedViralVenomLegendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.ma_wbr_nok_02_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Smart Link (Items.AdvancedSmartLink_Tutorial_Uncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:34] QianT \"Warp Dancer\" Sandevistan (Items.SandevistanC3MK5) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Sandevistan
[2025-07-18 20:50:34] NUSA Map (Items.NomadsJunkItem2) | Unknown | Junk | Junk, FactionItem, Nomads, NoVisuals
[2025-07-18 20:50:34] Unknown (Items.w_shotgun_dual__rostovic_satara__rcv1) | Unknown | Unknown | itemPart
[2025-07-18 20:50:34] Neutralizing shard (Items.sts_ep1_07_nele_shard) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:34] Unknown (Items.bottle_e_beer) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:34] Heal-On-Kill (Items.AdvancedHealOnKillLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Wanted for the Abduction of H.A. (Items.mws_cct_dtn_02_gang_retaliation_shard_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.sts_ep1_13_shard_009) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Titanium Bones (Items.AdvancedTitaniumInfusedBonesUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.ma_wbr_nok_05_shard3) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Silencio (Items.MeleeMod3_Base_LowTier) | Unknown | Unknown | itemPart, WeaponMod, MeleeMod
[2025-07-18 20:50:34] Unknown (Items.w_machete_borg_grip) | Unknown | Miscellaneous | parentPart
[2025-07-18 20:50:34] Kerenzikov (Items.AdvancedKerenzikovUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.WeaponScopeRailBase) | Unknown | Unknown | itemPart
[2025-07-18 20:50:34] Synaptic Accelerator (Items.AdvancedSynapticAcceleratorLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.ma_wat_nid_15_onscreen_psycho) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.generic_konpeki_plaza_folder_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.sa_ep1_32_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.UnityAgentWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:34] No Limb Hardcore - The Making Of (Items.q105_item_fluff_braindance_05) | Unknown | Miscellaneous
[2025-07-18 20:50:34] Better Half (Items.RangedMod1_Base) | Unknown | Unknown | itemPart, WeaponMod, RangedMod, GenericRangedMod
[2025-07-18 20:50:34] Unknown (Items.NashWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:34] Mechatronic Core (Items.RoboticCoreRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.crowd_kitchen_tray_lizzies) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:34] Swiss Cheese (Items.PowerMod2_Base) | Unknown | Unknown | itemPart, WeaponMod, RangedMod, Power
[2025-07-18 20:50:34] Unknown (Items.ma_std_rcr_17_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Shock Absorber (Items.AdvancedJointLockUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Reinforced Tendons (Items.AdvancedBoostedTendonsRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Tattoo: Tyger Claws Dermal Imprint (Items.AdvancedYakuzaTattooLegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Tranquilizer Rounds (Items.TranquilizerRound) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor, itemPart
[2025-07-18 20:50:34] Stabilizer (Items.PRSRMod1_Base) | Unknown | Sniper Mod | itemPart, WeaponMod, RangedMod
[2025-07-18 20:50:34] Unknown (Items.sts_wat_kab_06_onscreen_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] E305 Prospecta (Items.w_att_scope_sniper_02_Epic) | Epic | Unknown | itemPart, WeaponMod, SniperScope, AirDropReward, Tier1-4
[2025-07-18 20:50:34] Me-thrill (Items.IntrinsicFabricEnhancer16) | Unknown | Unknown | itemPart, FabricEnhancer, DummyPart, HideInUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ep1_generic_nc_spaceport_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Monowire Battery (Items.NanoWiresBatteryBase) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor, itemPart
[2025-07-18 20:50:34] Zetatech Sandevistan (Items.AdvancedSandevistanC1MK4) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Sandevistan
[2025-07-18 20:50:34] Unknown (Items.mq305_lab_bree_shard_1) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.loc_ma_hey_gle_109_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Kiroshi \"Sentry\" Optics (Items.AdvancedKiroshiOpticsSensorUncommonPlus) | Uncommon | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] I may as well be kidnapped (Items.q305_scientist_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.UltimateHack) | Unknown | Quickhack | itemPart, SoftwareShard
[2025-07-18 20:50:34] Unknown (Items.generic_ncpd_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Smart Link (Items.SmartLinkEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.ma_pac_wwd_101_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ma_cct_dtn_01_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.sts_wat_kab_107_onscreen_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Cellular Adapter (Items.AdvancedAdaptiveStemCellsRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.generic_q115_afterlife_recycling) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.generic_q110_mall_boss_sentry) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] <3 Crystal Palace <3 striptease <3 playlist <3 (Items.q306_lost_bag) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ma_wat_kab_07_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Report (Items.ma_wat_lch_06_corpo_shard_hackable) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:34] !OBSOLETE (Items.mq304_bennett_dossier_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ma_bls_ina_se5_01_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Shard (Items.ma_cct_dtn_12_crackable_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor, Quest
[2025-07-18 20:50:34] Unknown (Items.q103_ghost_town_leaflet_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Militech Canto Mk.6 (Items.VHard_50_IntRef_Cyberdeck) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck, Haunted_Deck
[2025-07-18 20:50:34] BioDyne Berserk (Items.BerserkC2MK3) | Unknown | Cyberware | Cyberware, HideInBackpackUI, Berserk
[2025-07-18 20:50:34] Rara Avis (Items.IconicAdvancedT1000Uncommon) | Uncommon | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:34] Blood Pump (Items.AdvancedBloodPumpRare) | Rare | Unknown | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] AUTOFIXER'S DISCOUNT EXTRAVAGANZZZA! (Items.sa_ep1_courier_reward_autofixer_discount) | Unknown | Miscellaneous | Quest
[2025-07-18 20:50:34] Ballistic Coprocessor (Items.PowerGripRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Kiroshi \"Stalker\" Optics (Items.AdvancedKiroshiOpticsPiercingBase) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Punchcard (Items.sq027_punchcard) | Unknown | Miscellaneous | SQ027, Quest
[2025-07-18 20:50:34] Cellular Adapter (Items.AdvancedAdaptiveStemCellsEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.AdvancedCardiovascularSystemModule) | Unknown | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.ma_wbr_jpn_08_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Ping (Items.PingLvl4PlusPlusProgram) | Unknown | Quickhack | itemPart, SoftwareShard, Tier0Shard, Tier2Shard, Tier6Shard
[2025-07-18 20:50:34] Col. Hansen’s Orders - crash site (Items.q301_wtc_kurts_orders) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.MoxCarnageWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:34] Ballistic Coprocessor (Items.AdvancedPowerGripLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Ballistic Coprocessor (Items.AdvancedPowerGrip_Tutorial_EpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI, MustBeWearableToPurchase
[2025-07-18 20:50:34] Dull Scalpel (Items.ScavengersJunkItem1) | Unknown | Junk | Junk, FactionItem, Scavengers, NoVisuals, CreepyFollower
[2025-07-18 20:50:34] Unknown (Items.ma_wat_lch_03_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Tyrosine Injector (Items.AdvancedTyrosineInjectorCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Seocho Electronics Mk.2 (Items.SeachoRareMKII) | Rare | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:34] Stabber (Items.AdvancedOilDispenserEpicPlus) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.ma_bls_ina_se5_36_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Me-thrill (Items.PowerfulFabricEnhancer05) | Unknown | Miscellaneous | itemPart, FabricEnhancer, DeprecatedFabricEnhancer, HideInUI, HideAtVendor, DummyPart
[2025-07-18 20:50:34] Unknown (Items.Achilles_scope) | Unknown | Unknown | itemPart, WeaponMod, LongScope, AirDropReward, DummyPart, HideInUI, HideAtVendor
[2025-07-18 20:50:34] !OBSOLETE (Items.q301_civilian_camp_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Us Cracks – Baby (Items.q204_vinyl_us_cracks_baby) | Unknown | Junk | Junk
[2025-07-18 20:50:34] Chemical Round (Items.ChemicalDamageRound) | Unknown | Fragment | itemPart, Fragment, itemPart, DummyPart, SkipActivityLog, HideInBackpackUI, HideInUI, HideAtVendor, itemPart
[2025-07-18 20:50:34] Para Bellum (Items.AdvancedT1000LegendaryPlusPlus) | Legendary++ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Kiroshi Optics Mk.1 (Items.AdvancedKiroshiOpticsRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Titanium Bones (Items.TitaniumInfusedBonesRare) | Rare | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Optical Camo (Items.AdvancedOpticalCamoCommon) | Common | Unknown | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Deep-field Visual Interface (Items.IconicAdvancedVisualCortexSupportRare) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:34] Unknown (Items.cbj_ep1_05_shard_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.CyberwareStatsShardCommon) | Common | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.we_ep1_01_shard_001) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Para Bellum (Items.AdvancedT1000Legendary) | Legendary | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] ProxiShield (Items.AdvancedProximityReducerRarePlus) | Rare+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.w_chefs_knife_common_grip) | Unknown | Miscellaneous | parentPart
[2025-07-18 20:50:34] Unknown (Items.marketing_credit_chip) | Unknown | Miscellaneous | Prop, HideInBackpackUI, HideAtVendor, HideInUI
[2025-07-18 20:50:34] Militech Paraline Mk.1 (Items.AdvancedMilitechParalineMKICommon) | Common | Cyberware | Cyberware, HideInBackpackUI, Cyberdeck
[2025-07-18 20:50:34] Kiroshi Optics Mk.3 (Items.KiroshiOpticsEpic) | Epic | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.AdvancedKiroshiOpticsHunterStatsShard) | Unknown | Cyberware Stat Mod | itemPart, Fragment, itemPart, SkipActivityLog, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.ma_wbr_hil_06_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Nix (Items.q305_info_nix) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Adreno-trigger (Items.IconicAdvancedDetectorRushRarePlus) | Iconic | Cyberware | Cyberware, HideInBackpackUI, IllegalItem
[2025-07-18 20:50:34] CS-1 Taipan (Items.w_handgun_silencer) | Unknown | Muzzle | itemPart, WeaponMod, Silenced, AirDropReward, Tier1-4
[2025-07-18 20:50:34] ProxiShield (Items.AdvancedProximityReducerLegendaryPlus) | Legendary+ | Cyberware | Cyberware, HideInBackpackUI
[2025-07-18 20:50:34] Unknown (Items.generic_nomad_propaganda_shard) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.KenshinSpy_scope) | Unknown | Unknown | itemPart, WeaponMod, ShortScope, CourierReward, DummyPart, HideInUI, HideAtVendor
[2025-07-18 20:50:34] Pilomancer 3000 (Items.SexToyJunkItem3) | Unknown | Junk | Junk, SexToy
[2025-07-18 20:50:34] Lizzy Wizzy – Fuck All Walls (Items.q204_vinyl_lizzy_wizzy_fuck_all_walls) | Unknown | Junk | Junk
[2025-07-18 20:50:34] Unknown (Items.TacticianDinoWeaponMod) | Unknown | Weapon Mod | itemPart, WeaponMod
[2025-07-18 20:50:34] Airstrike (Items.MeleeMod1_Legendary) | Legendary | Unknown | itemPart, WeaponMod, MeleeMod, Legendary
[2025-07-18 20:50:34] Contagion (Items.ContagionLvl4Program) | Unknown | Quickhack | itemPart, SoftwareShard, Tier1Shard, Tier2Shard, Tier3Shard, Tier4Shard
[2025-07-18 20:50:34] Airstrike (Items.MeleeMod1_Epic) | Epic | Unknown | itemPart, WeaponMod, MeleeMod, Epic
[2025-07-18 20:50:34] Spring Joints (Items.AdvancedAgileJointsRare2Plus) | Rare | Cyberware | Cyberware, HideInBackpackUI, SkipActivityLog
[2025-07-18 20:50:34] Court Report #271: Sobol Sentenced! (Items.sts_ep1_06_shard_007) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Unknown (Items.ma_std_rcr_109_onscreen_01) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Fuck OA (Items.q306_prison_note) | Unknown | Shard | Readable, Shard, SkipActivityLog, HideInBackpackUI, HideAtVendor
[2025-07-18 20:50:34] Pack of Cigarettes (Items.GenericJunkItem23) | Unknown | Junk | Junk, CreepyFollower
[2025-07-18 20:50:34] Biomonitor (Items.AdvancedBiomonitorCommon) | Common | Cyberware | Cyberware, HideInBackpackUI
